"","yearID","sourceTypeID","salesGrowthFactor","sourceTypePopulation","migrationrate"
"1","1990","21",0,132365011,1
"2","1991","21",0,126182408,1
"3","1992","21",0,124142441,1
"4","1993","21",0,124705895,1
"5","1994","21",0,124958316,1
"6","1995","21",0,125405598,1
"7","1996","21",0,122868588,1
"8","1997","21",0,122963306,1
"9","1998","21",0,125110846,1
"10","1999","21",0,125500148,1
"11","2000","21",0,126474780,1
"12","2001","21",0,129768738,1
"13","2002","21",0,128097527,1
"14","2003","21",0,127717652,1
"15","2004","21",0,128367793,1
"16","2005","21",0,128315551,1
"17","2006","21",0,127092219,1
"18","2007","21",0,126517928,1
"19","2008","21",0,125544736,1
"20","2009","21",0,123572451,1
"21","2010","21",0,121692450,1
"22","2011","21",0,121023808,1
"23","2012","21",0,120483028,1
"24","2013","21",0,120321082,1
"25","2014","21",0,119732374,1
"26","2015","21",0,120282110,1
"27","2016","21",0,122941529,1
"28","2017","21",0,131066049,1
"29","2018","21",0,133101607,1
"30","2019","21",0,132931847,1
"31","2020","21",0,129412242,1
"32","2021","21",0,125647105,1
"33","2022","21",0,122320070,1
"34","2023","21",0,119294907,1
"35","2024","21",0,116618915,1
"36","2025","21",0,114342022,1
"37","2026","21",0,112274151,1
"38","2027","21",0,110294229,1
"39","2028","21",0,108532361,1
"40","2029","21",0,107008493,1
"41","2030","21",0,105621899,1
"42","2031","21",0,104556676,1
"43","2032","21",0,103667066,1
"44","2033","21",0,102982575,1
"45","2034","21",0,102509368,1
"46","2035","21",0,102170630,1
"47","2036","21",0,101865300,1
"48","2037","21",0,101656014,1
"49","2038","21",0,101466703,1
"50","2039","21",0,101173422,1
"51","2040","21",0,100855054,1
"52","2041","21",0,100660920,1
"53","2042","21",0,100564557,1
"54","2043","21",0,100502591,1
"55","2044","21",0,100483727,1
"56","2045","21",0,100454889,1
"57","2046","21",0,100628798,1
"58","2047","21",0,100638412,1
"59","2048","21",0,100659790,1
"60","2049","21",0,100587525,1
"61","2050","21",0,100548566,1
"62","1990","31",0,57670826,1
"63","1991","31",0,61793343,1
"64","1992","31",0,66421939,1
"65","1993","31",0,71773044,1
"66","1994","31",0,76013770,1
"67","1995","31",0,79610568,1
"68","1996","31",0,83735983,1
"69","1997","31",0,85288510,1
"70","1998","31",0,86615386,1
"71","1999","31",0,91689940,1
"72","2000","31",0,93627921,1
"73","2001","31",0,100004328,1
"74","2002","31",0,101190294,1
"75","2003","31",0,103712146,1
"76","2004","31",0,108204728,1
"77","2005","31",0,112893775,1
"78","2006","31",0,113502726,1
"79","2007","31",0,115306238,1
"80","2008","31",0,117177114,1
"81","2009","31",0,113937614,1
"82","2010","31",0,113841272,1
"83","2011","31",0,114097399,1
"84","2012","31",0,115208643,1
"85","2013","31",0,116408210,1
"86","2014","31",0,116187900,1
"87","2015","31",0,118143217,1
"88","2016","31",0,116283065,1
"89","2017","31",0,120829413,1
"90","2018","31",0,121266969,1
"91","2019","31",0,122894461,1
"92","2020","31",0,127235745,1
"93","2021","31",0,131188523,1
"94","2022","31",0,134841076,1
"95","2023","31",0,138427246,1
"96","2024","31",0,142038276,1
"97","2025","31",0,145599440,1
"98","2026","31",0,148919414,1
"99","2027","31",0,151858632,1
"100","2028","31",0,154455254,1
"101","2029","31",0,156653933,1
"102","2030","31",0,158597561,1
"103","2031","31",0,160207585,1
"104","2032","31",0,161542225,1
"105","2033","31",0,162700670,1
"106","2034","31",0,163711005,1
"107","2035","31",0,164581396,1
"108","2036","31",0,165353378,1
"109","2037","31",0,166048301,1
"110","2038","31",0,166752674,1
"111","2039","31",0,167515282,1
"112","2040","31",0,168263222,1
"113","2041","31",0,168950693,1
"114","2042","31",0,169615107,1
"115","2043","31",0,170155814,1
"116","2044","31",0,170654120,1
"117","2045","31",0,171210316,1
"118","2046","31",0,171535348,1
"119","2047","31",0,171987404,1
"120","2048","31",0,172389135,1
"121","2049","31",0,172769159,1
"122","2050","31",0,172995317,1
